census_tract,avg_model_score_normalized
39035101101,2.435185185185185
39035101102,2.686046511627907
39035101200,2.3506711409395975
39035101300,2.3620689655172415
39035101400,2.0555555555555554
39035101501,2.205
39035101603,2.3948863636363638
39035101700,2.461038961038961
39035101800,2.227272727272727
39035101901,2.314935064935065
39035102101,2.2528735632183907
39035102102,2.581081081081081
39035102200,2.5981308411214954
39035102300,2.6777777777777776
39035102401,2.518292682926829
39035102402,2.3544303797468356
39035102700,2.3774752475247523
39035102800,2.2857142857142856
39035102900,2.2338709677419355
39035103100,2.2453703703703702
39035103300,1.846774193548387
39035103400,2.3811475409836067
39035103500,2.3614864864864864
39035103602,2.1597938144329896
39035103800,2.314189189189189
39035103900,2.080188679245283
39035104100,2.15625
39035104200,2.0543478260869565
39035104300,2.1120689655172415
39035104400,2.2451923076923075
39035104600,2.064814814814815
39035104800,2.0345744680851063
39035104900,2.15
39035105100,2.194186046511628
39035105300,2.2534722222222223
39035105400,2.216494845360825
39035105500,2.685483870967742
39035105602,2.232
39035105700,2.643410852713178
39035105900,2.8080110497237567
39035106100,2.9239864864864864
39035106200,2.8830645161290325
39035106300,2.597826086956522
39035106400,2.7916666666666665
39035106500,2.4951298701298703
39035106600,2.4838709677419355
39035106800,2.5873015873015874
39035106900,3.008130081300813
39035107000,2.543181818181818
39035107101,2.049
39035107701,1.7727272727272727
39035107802,1.8523391812865497
39035108201,2.1548223350253806
39035108301,2.070261437908497
39035108400,2.1311475409836067
39035108701,2.132758620689655
39035109301,2.2882882882882885
39035109701,1.9444444444444444
39035109801,2.015957446808511
39035110501,2.3130841121495327
39035110801,2.278409090909091
39035110901,2.4395604395604398
39035111202,2.3365853658536584
39035111401,2.6566265060240966
39035111500,2.4214285714285713
39035111600,2.588235294117647
39035111700,2.6273584905660377
39035111800,2.2777777777777777
39035111902,2.683333333333333
39035112100,2.701923076923077
39035112200,2.48
39035112301,2.46875
39035112400,2.7611940298507465
39035112500,2.5416666666666665
39035112600,2.6515151515151514
39035112800,2.58
39035113101,2.4022988505747125
39035113500,2.6052631578947367
39035113600,2.4505494505494507
39035113801,2.539772727272727
39035114100,2.3413461538461537
39035114300,2.622950819672131
39035114501,2.5433168316831685
39035114600,2.507978723404255
39035114700,2.7205882352941178
39035114900,2.5783898305084745
39035115100,2.4444444444444446
39035115200,2.371212121212121
39035115300,2.4328358208955225
39035115400,2.632911392405063
39035115700,2.4115853658536586
39035115800,2.7357723577235773
39035115900,2.74468085106383
39035116100,2.5520833333333335
39035116200,2.4153225806451615
39035116300,2.661290322580645
39035116400,2.6674107142857144
39035116500,2.8552631578947367
39035116600,2.778409090909091
39035116700,2.34375
39035116800,2.6630434782608696
39035116900,2.571969696969697
39035117101,2.892857142857143
39035117102,2.478723404255319
39035117201,2.6176470588235294
39035117202,2.401923076923077
39035117300,2.628504672897196
39035117400,2.508241758241758
39035117500,2.5224719101123596
39035117600,2.767123287671233
39035117700,2.79978354978355
39035117800,2.6213235294117645
39035117900,2.5255905511811023
39035118101,2.7
39035118200,2.746031746031746
39035118301,2.639908256880734
39035118400,2.7033898305084745
39035118500,2.840909090909091
39035118602,2.5991379310344827
39035118700,2.4393939393939394
39035118800,2.13125
39035118900,2.5441176470588234
39035119100,2.291095890410959
39035119202,2.477272727272727
39035119300,2.485169491525424
39035119401,2.717948717948718
39035119402,2.3944444444444444
39035119501,2.5833333333333335
39035119502,2.403409090909091
39035119600,2.6443661971830985
39035119701,3.2453703703703702
39035119702,2.7358490566037736
39035119800,2.8575
39035119900,3.0280898876404496
39035120200,2.7470238095238093
39035120400,2.6754032258064515
39035120500,2.6666666666666665
39035120600,2.808252427184466
39035120701,2.607843137254902
39035120702,2.996212121212121
39035120801,3.067857142857143
39035120802,2.9472222222222224
39035121100,2.8964285714285714
39035121200,2.87
39035121300,2.6848739495798317
39035121401,2.5201612903225805
39035121403,2.735294117647059
39035121500,2.965686274509804
39035121700,3.0508982035928143
39035121800,3.448019801980198
39035121900,2.935344827586207
39035122100,3.25
39035122200,2.795955882352941
39035122300,2.643410852713178
39035123100,2.856060606060606
39035123200,2.741329479768786
39035123400,2.85
39035123501,2.2960893854748603
39035123502,2.5404411764705883
39035123601,2.9047619047619047
39035123602,2.8937908496732025
39035123603,2.721518987341772
39035123700,2.4396929824561404
39035123800,2.3445378151260505
39035123900,2.8722222222222222
39035124100,2.662280701754386
39035124201,2.7048387096774196
39035124202,2.842696629213483
39035124300,2.775
39035124500,2.4738372093023258
39035124600,2.4298245614035086
39035126100,2.9451219512195124
39035127501,2.621212121212121
39035196400,2.5237226277372264
39035196500,2.520618556701031
